"","PriorSalesKey","PriorSales"
"1","1April2013",118009
"2","2April2013",116878
"3","3April2013",172188
"4","4April2013",226981
"5","5April2013",106141
"6","6April2013",154269
"7","7April2013",197381
"8","8April2013",127236
"9","9April2013",136194
"10","10April2013",131040
"11","11April2013",189491
"12","12April2013",179129
"13","13April2013",124740
"14","14April2013",132499
"15","15April2013",153697
"16","16April2013",173871
"17","17April2013",154036
"18","18April2013",140814
"19","19April2013",141304
"20","20April2013",185919
"21","21April2013",127896
"22","22April2013",103608
"23","23April2013",129598
"24","24April2013",219025
"25","25April2013",334527
"26","26April2013",153940
"27","27April2013",219189
"28","28April2013",131917
"29","29April2013",153148
"30","30April2013",150062
"31","31April2013",135009
"32","32April2013",98897
"33","33April2013",226965
"34","34April2013",200032
"35","35April2013",215783
"36","36April2013",234608
"37","37April2013",171647
"38","38April2013",146864
"39","39April2013",107718
"40","40April2013",128047
"41","41April2013",100042
"42","42April2013",237045
"43","43April2013",174683
"44","44April2013",132770
"45","45April2013",131621
"46","46April2013",125616
"47","47April2013",164466
"48","48April2013",108569
"49","49April2013",160299
"50","50April2013",101567
"51","51April2013",149254
"52","52April2013",178201
"53","53April2013",122685
"54","54April2013",184858
"55","55April2013",88483
"56","56April2013",173013
"57","57April2013",270293
"58","58April2013",137762
"59","59April2013",131576
"60","60April2013",168417
"61","61April2013",97602
"62","62April2013",155543
"63","63April2013",153585
"64","64April2013",219545
"65","65April2013",112827
"66","66April2013",147140
"67","67April2013",187526
"68","68April2013",175032
"69","69April2013",237359
"70","70April2013",158048
"71","71April2013",209419
"72","72April2013",106016
"73","73April2013",105914
"74","74April2013",152662
"75","75April2013",134403
"76","76April2013",206732
"77","77April2013",172617
"78","78April2013",88224
"79","79April2013",130919
"80","80April2013",180954
"81","81April2013",159666
"82","82April2013",210874
"83","83April2013",95930
"84","84April2013",300770
"85","85April2013",213506
"86","86April2013",109438
"87","87April2013",147139
"88","88April2013",145050
"89","89April2013",141557
"90","90April2013",201428
"91","91April2013",123089
"92","92April2013",137950
"93","93April2013",147710
"94","94April2013",163895
"95","95April2013",184666
"96","96April2013",122750
"97","97April2013",154710
"98","98April2013",110120
"99","99April2013",107271
"100","100April2013",184498
"101","101April2013",164597
"102","102April2013",159976
"103","103April2013",0
"104","104April2013",245281
"105","105April2013",37394
"106","106April2013",210771
"107","107April2013",174289
"108","108April2013",238405
"109","109April2013",148216
"110","110April2013",107536
"111","111April2013",159735
"112","112April2013",147299
"113","113April2013",184214
"114","114April2013",126128
"115","115April2013",157363
"116","116April2013",197031
"117","117April2013",94967
"118","118April2013",159694
"119","119April2013",142724
"120","120April2013",173159
"121","121April2013",106567
"122","122April2013",156596
"123","123April2013",194662
"124","124April2013",115528
"125","125April2013",302408
"126","126April2013",173907
"127","127April2013",126432
"128","128April2013",146267
"129","129April2013",237712
"130","130April2013",125146
"131","131April2013",141326
"132","132April2013",128574
"133","133April2013",181296
"134","134April2013",117342
"135","135April2013",134721
"136","136April2013",105777
"137","137April2013",196385
"138","138April2013",164312
"139","139April2013",155442
"140","140April2013",178224
"141","141April2013",133136
"142","142April2013",113095
"143","143April2013",144685
"144","144April2013",173853
"145","145April2013",219877
"146","146April2013",176125
"147","147April2013",189681
"148","148April2013",211351
"149","149April2013",130129
"150","150April2013",182898
"151","151April2013",148303
"152","152April2013",137798
"153","153April2013",176417
"154","154April2013",190051
"155","155April2013",163946
